block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_62-007_3563,131,0,WAHIAWA HEIGHTS,620162,3563_muwtf,5600343.6208.868523
b_13-003_3616,127,1,WAIKIKI - UH Manoa,130118,3616_smuwtfa,5613502.1312.872541
a_434-001_3497,90,0,VILLAGE PARK,4340022,3497_a,5602141.4341.856018
b_9-011_3563,126,1,KAIMUKI - KCC,90166,3563_muwtf,5588725.912.861762
b_19-024_3563,19,0,AIRPORT - PEARLRIDGE,200075,3563_muwtf,5589270.2003.862061
a_1-012_3495,1,1,KAHALA MALL,10202,3495_muwtf,5615401.105.859848
a_53-001_3497,32,1,PEARL CITY,530050,3497_a,5602824.530B.856484
b_503-001_3616,114,1,LAUNANI VALLEY,5030010,3616_smuwtfa,5632510.5031.873477
b_403-002_3585,81,1,WAIANAE TRANSIT CENTER,4010004,3585_s,5604328.4012.870469
a_A-005_3500,22,0,CityExpress! WAIPAHU,A0060,3500_s,5604114.2505.857222
b_4-004_3616,4,1,WAIKIKI via UH Manoa,40107,3616_smuwtfa,5597284.415.866625
b_76-001_3585,46,1,WAIALUA,760008,3585_s,5603509.7602.869757
a_432-002_3497,88,1,WAIPAHU TRANSIT CENTER,4320022,3497_a,5602020.4322.855901
a_17-001_3534,16,1,ALA MOANA CENTER,170008,3534_smuwtfa,5595620.1701.852218
a_3-005_3497,3,0,SALT LAKE,30158,3497_a,5592387.314.850315
a_17-001_3534,16,0,MAKIKI,170001,3534_smuwtfa,5595595.1702.852193
a_56-002_3500,35,1,HONOLULU - Ala Moana Center,560025,3500_s,5594447.5602.851625
b_E-002_3585,109,0,CountryExpress! EWA BEACH,E0034,3585_s,5604504.6803.870564
a_54-004_3500,33,1,ALAPAI TRANSIT CENTER via Red Hill,540059,3500_s,5593777.5404.851053
b_8-006_3572,8,0,ALA MOANA CENTER,80021,3572_a,5591503.801.862818
b_434-001_3616,90,0,VILLAGE PARK,4340022,3616_smuwtfa,5606091.4341.871484
b_41-001_3585,27,1,EWA BEACH TRANSIT CENTER,410047,3585_s,5604261.4102.870407
a_434-001_3495,90,1,WAIPAHU TRANSIT CENTER,4340039,3495_muwtf,5599358.4343.854631
a_A-007_3497,22,0,CityExpress! KALIHI TRANSIT CENTER,A0061,3497_a,5602275.2501.856146
b_57-006_3563,103,0,WAIKIKI - Ala Moana Center,230040,3563_muwtf,5588315.2306.861535
a_44-002_3500,30,1,WAIPAHU - Leoku Street,440008,3500_s,5603647.4405.856813
b_2-050_3563,2,1,WAIKIKI - KCC,20112,3563_muwtf,5589467.213.862151
a_9-006_3507,126,0,NAVY - Nimitz Gate,90146,3507_muwtf_PHoff,5588715.909.848536
a_22-003_3500,21,1,TheBeachBus - HANAUMA BAY,220049,3500_s,5593678.2203.850965
b_42-006_3572,28,1,WAIKIKI BEACH & HOTELS,420131,3572_a,5602584.4209.869436
b_14-001_3585,13,0,SAINT LOUIS HEIGHTS via Waialae,140040,3585_s,5697117.1407.873989
a_11-002_3534,11,1,ALAPAI TRANSIT CENTER,110008,3534_smuwtfa,5595941.1104.852451
a_13-004_3500,127,0,LILIHA - Puunui Avenue,130120,3500_s,5613319.1306.859395
a_3-007_3497,3,0,SALT LAKE,30158,3497_a,5592385.314.850313
a_40-011_3534,26,0,MAKAHA TOWERS,400216,3534_smuwtfa,5606330.4092.858647
a_9s-001_3497,125,0,PALOLO VALLEY,9s0004,3497_a,5592266.9A01.850196
b_65-002_3585,39,0,KANEOHE - KAHALUU,650096,3585_s,5604580.6504.870630
a_434-001_3500,90,1,WAIPAHU TRANSIT CENTER,4340043,3500_s,5604051.4343.857163
a_53-002_3534,32,1,HONOLULU - Ala Moana via Red Hill,530041,3534_smuwtfa,5605907.5307.858316
b_52-006_3585,129,1,HONOLULU - Ala Moana Center,520086,3585_s,5604694.5204.870744
b_6-006_3563,6,0,PAUOA VALLEY,60125,3563_muwtf,5587874.605.861168
a_62-001_3495,131,1,ALAPAI TRANSIT CENTER,620124,3495_muwtf,5600238.6202.855304
b_98A-014_3563,76,0,EXPRESS - Mililani-Wahiawa-Kunia,98A0003,3563_muwtf,5587769.98A3.861114
a_1-008_3495,1,0,KALIHI TRANSIT CENTER,10205,3495_muwtf,5615325.107.859775
a_65-008_3495,39,0,KANEOHE - KAHALUU,650096,3495_muwtf,5600319.6504.855385
a_103-001_3495,67,1,EXPRESS - Downtown,1030014,3495_muwtf,5587795.1031.847835
b_414-001_3563,112,0,CommunityAccess! KAPOLEI TC,4140009,3563_muwtf,5632223.4141.873222
a_5-001_3500,5,0,ALA MOANA CENTER,50013,3500_s,5593652.501.850941
b_19-025_3572,18,1,WAIKIKI BEACH & HOTELS,190114,3572_a,5592712.1911.863659
a_77-001_3495,47,0,WAIMANALO,770019,3495_muwtf,5587139.7702.847376
a_19-025_3495,18,1,WAIKIKI BEACH & HOTELS,190114,3495_muwtf,5589210.1911.848785
b_54-004_3572,33,0,UPPER PEARL CITY,540060,3572_a,5591279.5409.862618
b_70-001_3572,41,1,LANIKAI,700005,3572_a,5591143.7001.862490
b_1L-003_3563,102,1,HAWAII KAI - Limited Stops,1L0016,3563_muwtf,5615383.1A03.872821
a_43-003_3495,48,0,EXPRESS - Downtown,800011,3495_muwtf,5589319.8001.848868
a_13-004_3500,127,1,WAIKIKI - UH Manoa,130118,3500_s,5613265.1312.859341
b_2-054_3563,2,1,WAIKIKI - KCC,20112,3563_muwtf,5589465.213.862149
b_8-004_3563,8,1,WAIKIKI BEACH & HOTELS,80018,3563_muwtf,5587290.803.860783
b_434-001_3585,90,1,WAIPAHU TRANSIT CENTER,4340042,3585_s,5604062.4343.870250
a_80-005_3534,48,1,EXPRESS - Hawaii Kai,800013,3534_smuwtfa,5595874.8002.852423
b_2-043_3572,2,1,WAIKIKI - KCC,20112,3572_a,5592926.213.863820
b_52-006_3616,129,0,WAHIAWA - HALEIWA,520090,3616_smuwtfa,5606780.5217.871997
b_72-001_3585,43,0,WHITMORE via Wahiawa,720031,3585_s,5603561.7203.869807
a_A-002_3495,22,0,CityExpress! WAIPAHU,A0060,3495_muwtf,5598985.2505.854327
a_14-001_3497,13,1,MAUNALANI HEIGHTS,140029,3497_a,5592799.1402.850548
b_31-001_3616,24,0,AIRPORT via Kalihi Transit Center,310021,3616_smuwtfa,5596430.3104.866001
b_A-009_3616,22,1,CityExpress! UH MANOA,A0057,3616_smuwtfa,5606218.2503.871609
b_76-001_3616,46,1,WAIALUA,760008,3616_smuwtfa,5605470.7602.871001
b_1-016_3563,1,0,KALIHI TRANSIT CENTER,10207,3563_muwtf,5615301.107.872740
a_9-003_3534,126,1,KAIMUKI - KCC,90159,3534_smuwtfa,5597680.912.853811
b_42-007_3572,28,1,WAIKIKI BEACH & HOTELS,420130,3572_a,5602561.4209.869413
a_A-001_3495,22,1,CityExpress! UH MANOA,A0056,3495_muwtf,5599044.2503.854386
a_4-007_3495,4,0,NUUANU - Dowsett Avenue via UH Manoa,40095,3495_muwtf,5589062.407.848675
b_22-002_3572,21,0,TheBeachBus - WAIKIKI BEACH,220052,3572_a,5592832.2208.863737
b_501-001_3572,115,0,MILILANI via Kuahelani,5040006,3572_a,5632270.5041.873261
b_C-006_3585,40,0,CountryExpress! MAKAHA,C0105,3585_s,5631923.6605.873068
a_403-001_3495,82,0,LUALUALEI HOMESTEADS,4020006,3495_muwtf,5599262.4022.854536
b_72-001_3585,43,0,WHITMORE via Wahiawa,720031,3585_s,5603559.7203.869805
a_55-003_3534,130,0,KANEOHE - NORTH SHORE HALEIWA,550077,3534_smuwtfa,5606754.5511.858970
b_76-001_3563,46,0,HALEIWA,760003,3563_muwtf,5598339.7601.867019
b_2-037_3572,2,1,WAIKIKI - KCC,20112,3572_a,5592875.213.863769
a_432-001_3500,88,0,WAIPAHU TRANSIT CENTER,4320024,3500_s,5603722.4322.856884
a_433-001_3534,89,1,WAIKELE,4330015,3534_smuwtfa,5606055.4332.858414
a_1-015_3495,1,0,KALIHI TRANSIT CENTER,10205,3495_muwtf,5615330.107.859780
b_14-001_3616,13,1,WAIKIKI - MAUNALANI HEIGHTS,140003,3616_smuwtfa,5696000.1408.873934
b_432-002_3572,88,1,EAST WAIPAHU - Paiwa Street,4320025,3572_a,5602032.4321.869027
b_40-002_3563,26,0,MAKAHA TOWERS,400216,3563_muwtf,5600595.4092.868662
a_3-007_3495,3,0,SALT LAKE,30158,3495_muwtf,5590014.314.849204
b_4-003_3563,4,1,UNIVERSITY - MOILIILI,40117,3563_muwtf,5589092.412.861921
b_8-001_3572,8,0,ALA MOANA CENTER,80021,3572_a,5591495.801.862810
a_434-001_3500,89,1,WAIKELE,4330015,3500_s,5604010.4332.857122
a_432-002_3495,88,1,WAIPAHU TRANSIT CENTER,4320022,3495_muwtf,5598643.4322.854097
a_4-002_3500,4,1,UNIVERSITY - MOILIILI,40091,3500_s,5594802.412.851832
a_76-001_3495,46,0,HALEIWA,760003,3495_muwtf,5598342.7601.853906
b_432-001_3616,88,1,EAST WAIPAHU - Paiwa Street,4320025,3616_smuwtfa,5605748.4321.871200
b_13-009_3585,127,0,LILIHA - Puunui Avenue,130120,3585_s,5613334.1306.872411
a_40-007_3534,26,1,HONOLULU - Ala Moana Center,400235,3534_smuwtfa,5606295.4005.858624
b_1-016_3572,1,0,KALIHI TRANSIT CENTER,10205,3572_a,5591791.107.863074
a_19-027_3497,19,1,WAIKIKI BEACH & HOTELS via Airport,200069,3497_a,5592746.2010.850514
a_433-001_3497,89,1,WAIKELE - WAIPIO,4330013,3497_a,5602077.4334.855954
a_80-002_3495,48,0,EXPRESS - Downtown,800011,3495_muwtf,5589320.8001.848869
a_14-001_3504,13,1,MAUNALANI HEIGHTS,140029,3504_muwtf_RToff,5589372.1402.848885
b_8-005_3585,8,0,ALA MOANA CENTER,80021,3585_s,5593952.801.864362
a_53-003_3495,32,0,PACIFIC PALISADES via Red Hill,530048,3495_muwtf,5598684.5308.854134
a_9s-001_3495,125,1,PALOLO VALLEY,9s0003,3495_muwtf,5588666.9A01.848489
a_8-001_3534,8,0,ALA MOANA CENTER,80021,3534_smuwtfa,5596559.801.852981
a_9-004_3534,126,0,NAVY - Nimitz Gate,90175,3534_smuwtfa,5597685.909.853816
a_13-005_3497,127,1,WAIKIKI - UH Manoa,130118,3497_a,5613386.1312.859442
b_44-002_3572,30,0,EWA VILLAGES - EWA BEACH,440015,3572_a,5601899.4404.868898
a_23-002_3497,103,1,HAWAII KAI - SEA LIFE PARK,230033,3497_a,5609731.2303.859168
b_56-004_3572,35,1,HONOLULU - Ala Moana Center,560025,3572_a,5592206.5602.863325
a_57-003_3500,36,1,HONOLULU - Ala Moana Center,570077,3500_s,5594122.5702.851358
b_2-061_3563,2,1,WAIKIKI - KCC,20112,3563_muwtf,5589445.213.862129
b_9s-001_3563,125,0,PALOLO VALLEY,9s0004,3563_muwtf,5661948.9A01.873629
b_10-001_3563,10,0,KALIHI KAI,100014,3563_muwtf,5587525.1002.860937
a_411-001_3497,85,0,KAPOLEI TRANSIT CENTER,4120007,3497_a,5601862.4121.855749
a_71-001_3534,42,1,UPPER PEARLRIDGE,710002,3534_smuwtfa,5605495.7103.857987
a_412-001_3495,85,0,KAPOLEI TRANSIT CENTER,4120007,3495_muwtf,5599090.4121.854398
b_10-001_3572,10,0,KALIHI KAI,100014,3572_a,5591217.1002.862560
a_17-001_3534,16,0,MAKIKI,170001,3534_smuwtfa,5595578.1702.852176
b_52-001_3585,129,1,HONOLULU - Ala Moana Center,520086,3585_s,5604689.5204.870739
b_8-009_3563,8,0,ALA MOANA CENTER,80021,3563_muwtf,5587343.801.860836
b_501-001_3572,115,0,MILILANI via Kuahelani,5040006,3572_a,5632271.5041.873262
b_98-003_3563,64,1,EXPRESS - Downtown,980017,3563_muwtf,5587765.9801.861110
b_E-003_3585,109,0,CountryExpress! EWA BEACH,E0034,3585_s,5604517.6803.870577
b_44-001_3616,30,0,EWA VILLAGES - EWA BEACH,440015,3616_smuwtfa,5605724.4404.871180
a_412-001_3495,85,1,MAKAKILO PANANA ST,4120006,3495_muwtf,5599126.4122.854434
b_413-002_3616,86,0,CAMPBELL INDUSTRIAL PARK,4130011,3616_smuwtfa,5605384.4131.870927
a_17-001_3495,16,1,ALA MOANA CENTER,170008,3495_muwtf,5587080.1701.847321
a_403-002_3534,82,0,LUALUALEI HOMESTEADS,4020006,3534_smuwtfa,5606456.4022.858760
b_57-003_3563,124,0,KAILUA - Keolu Drive,57A0014,3563_muwtf,5588346.57A3.861561
a_42-012_3495,28,1,PEARLRIDGE,420125,3495_muwtf,5599602.4208.854856
b_433-002_3572,89,0,WAIPAHU TRANSIT CENTER,4330014,3572_a,5602099.4333.869090
a_24-001_3495,128,1,UPPER AINA HAINA,240006,3495_muwtf,5588612.2402.848435
a_18-001_3500,17,0,UH MANOA - Dole Street,180009,3500_s,5594366.1802.851548
a_52-001_3495,131,0,WAHIAWA HEIGHTS,620160,3495_muwtf,5600199.6208.855268
a_57-007_3495,36,0,KAILUA - WAIMANALO,570085,3495_muwtf,5588454.5705.848341
a_434-001_3495,90,0,VILLAGE PARK,4340022,3495_muwtf,5599389.4341.854662
b_403-002_3572,82,0,LUALUALEI HOMESTEADS,4020006,3572_a,5602542.4022.869395
a_13-007_3495,127,0,LILIHA - Puunui Avenue,130120,3495_muwtf,5613058.1306.859283
b_55-005_3572,130,1,HONOLULU - Ala Moana Center,550075,3572_a,5602946.5502.869680
b_13-008_3563,127,1,WAIKIKI - UH Manoa,130116,3563_muwtf,5613107.1312.872333
b_PH1-001_3616,118,1,EXPRESS - Pearl Harbor,PH10001,3616_smuwtfa,5609102.7E12.872130
a_403-001_3497,82,0,LUALUALEI HOMESTEADS,4020006,3497_a,5602539.4022.856278
b_53-004_3563,32,0,PACIFIC PALISADES via Red Hill,530048,3563_muwtf,5598676.5308.867242
a_5-001_3495,5,1,MANOA VALLEY,50011,3495_muwtf,5587174.503.847407
a_10-001_3500,10,0,KALIHI KAI,100014,3500_s,5593589.1002.850882
b_62-001_3585,131,0,WAHIAWA HEIGHTS,620162,3585_s,5604734.6208.870784
a_8-005_3534,8,1,WAIKIKI BEACH & HOTELS,80018,3534_smuwtfa,5596585.803.853007
a_19-026_3500,18,1,ALAPAI TRANSIT CENTER,190119,3500_s,5594865.1905.851887
a_41-001_3497,27,1,EWA BEACH TRANSIT CENTER,410047,3497_a,5602419.4102.856163
a_2-043_3497,2,1,WAIKIKI - KCC,20112,3497_a,5592957.213.850693
a_501-001_3500,113,1,MILILANI MAUKA,5010006,3500_s,5632449.5011.860292
b_1-008_3572,1,0,KALIHI TRANSIT CENTER,10207,3572_a,5591941.107.863224
a_52-001_3534,131,0,WAHIAWA - HALEIWA,620150,3534_smuwtfa,5606748.6212.858964
b_4-001_3585,4,1,UNIVERSITY - MOILIILI,40107,3585_s,5594848.412.865036
a_42-007_3497,28,1,WAIKIKI BEACH & HOTELS,420130,3497_a,5602561.4209.856299
b_8-007_3616,8,1,WAIKIKI BEACH & HOTELS,80018,3616_smuwtfa,5596591.803.866150
b_9s-001_3572,125,1,PALOLO VALLEY,9s0003,3572_a,5592252.9A01.863361
a_11-002_3497,11,0,HALAWA - AIEA HEIGHTS,110020,3497_a,5591333.1109.849485
a_C-002_3534,40,1,CountryExpress! ALA MOANA,C0102,3534_smuwtfa,5606543.6601.858817
a_403-002_3495,82,0,LUALUALEI HOMESTEADS,4020006,3495_muwtf,5599265.4022.854539
a_2-031_3534,2,1,WAIKIKI - KCC,20112,3534_smuwtfa,5597612.213.853779
b_70-001_3563,41,1,LANIKAI,700005,3563_muwtf,5587019.7001.860569
b_55-006_3616,130,1,HONOLULU - Ala Moana Center,550075,3616_smuwtfa,5606822.5502.872039
b_3-003_3572,3,1,KAPIOLANI COMM COLLEGE,30162,3572_a,5592315.311.863422
b_414-001_3572,112,0,CommunityAccess! KAPOLEI TC,4140010,3572_a,5632343.4141.873330
b_432-002_3585,88,1,EAST WAIPAHU - Paiwa Street,4320025,3585_s,5603700.4321.869938
a_7-002_3497,7,1,KALIHI UKA,70053,3497_a,5591747.702.849860
a_4-001_3495,4,0,NUUANU - Kimo Drive via UH Manoa,40096,3495_muwtf,5589111.408.848724
b_1-015_3572,1,0,KALIHI TRANSIT CENTER,10208,3572_a,5591905.107.863188
a_1-011_3497,1,0,KALIHI TRANSIT CENTER,10214,3497_a,5591921.107.850025
b_55-007_3616,130,1,HONOLULU - Ala Moana Center,550075,3616_smuwtfa,5606820.5502.872037
a_6-002_3497,6,1,WOODLAWN DRIVE via East-West Road,60123,3497_a,5591436.609.849577
b_40-015_3572,26,0,MAKAHA TOWERS,400215,3572_a,5624188.4092.872914
b_1-020_3563,1,0,KALIHI TRANSIT CENTER,10205,3563_muwtf,5615353.107.872792
b_54-002_3563,33,1,ALAPAI TRANSIT CENTER via Red Hill,540059,3563_muwtf,5587685.5404.861065
a_434-001_3495,90,1,WAIPAHU TRANSIT CENTER,4340042,3495_muwtf,5599363.4343.854636
b_3-009_3563,3,1,KAPIOLANI COMM COLLEGE,30162,3563_muwtf,5589971.311.862340
b_C-007_3572,40,1,CountryExpress! ALA MOANA,C0102,3572_a,5631822.6601.872983
b_19-026_3585,18,0,AIRPORT - HICKAM,190124,3585_s,5594912.1903.865091
b_6-001_3572,6,0,PAUOA VALLEY,60125,3572_a,5591445.605.862764
a_9s-001_3500,125,1,PALOLO VALLEY,9s0003,3500_s,5594465.9A01.851633
b_411-001_3585,84,1,MAKAKILO HEIGHTS,4110023,3585_s,5603598.4112.869842
b_15-002_3600,14,1,ALAPAI TRANSIT CENTER,150012,3600_muwtf_RRoff,6000000.1501.874002
b_8-007_3563,8,1,WAIKIKI BEACH & HOTELS,80019,3563_muwtf,5587407.803.860900
a_76-001_3497,46,0,HALEIWA,760003,3497_a,5601761.7601.855652
a_53-009_3495,32,0,PACIFIC PALISADES via Red Hill,530038,3495_muwtf,5598742.5308.854184
a_433-001_3497,89,1,WAIKELE - WAIPIO,4330013,3497_a,5602073.4334.855950
b_3-023_3563,3,1,KAPIOLANI COMM COLLEGE,30162,3563_muwtf,5590051.311.862420
a_44-002_3497,30,0,EWA VILLAGES - EWA BEACH,440015,3497_a,5601899.4404.855784
b_4-001_3563,4,0,NUUANU - Dowsett Avenue via UH Manoa,40095,3563_muwtf,5589059.407.861888
b_9s-001_3616,125,0,PALOLO VALLEY,9s0004,3616_smuwtfa,5596993.9A01.866476
b_17-001_3563,16,1,ALA MOANA CENTER,170008,3563_muwtf,5587110.1701.860636
b_8-011_3563,8,1,WAIKIKI BEACH & HOTELS,80018,3563_muwtf,5587296.803.860789
a_411-002_3497,85,0,KAPOLEI TRANSIT CENTER,4120007,3497_a,5601873.4121.855760
a_17-001_3495,16,0,MAKIKI,170001,3495_muwtf,5587085.1702.847326
a_13-008_3495,127,1,WAIKIKI - UH Manoa,130118,3495_muwtf,5613015.1312.859240
a_432-002_3534,88,1,EAST WAIPAHU - Paiwa Street,4320025,3534_smuwtfa,5605759.4321.858172
b_74-001_3563,45,0,AIEA HEIGHTS,740013,3563_muwtf,5598367.7401.867037
a_55-006_3497,130,0,KANEOHE - NORTH SHORE HALEIWA,550067,3497_a,5602963.5511.856621
a_413-002_3556,27,0,KAPOLEI TRANSIT CENTER,410035,3556_mutf_RAon,5599993.4103.855096
a_A-007_3495,22,0,CityExpress! WAIPAHU,A0060,3495_muwtf,5598999.2505.854341
a_13-003_3534,127,0,LILIHA - Puunui Avenue,130120,3534_smuwtfa,5613591.1306.859627
a_32-001_3534,25,0,FOSTER VILLAGE - PEARLRIDGE,320044,3534_smuwtfa,5596172.3202.852642
a_53-009_3495,32,1,HONOLULU - Ala Moana via Red Hill,530041,3495_muwtf,5598723.5307.854173
a_503-001_3497,114,1,LAUNANI VALLEY,5030010,3497_a,5632304.5031.860161
a_C-003_3495,40,0,CountryExpress! MAKAHA,C0106,3495_muwtf,5599846.6605.855026
b_415-001_3608,87,1,KALAELOA,4150010,3608_muwtf_RAoff,6000025.4151.874027
b_6-003_3616,6,1,UNIVERSITY - Woodlawn Drive,60119,3616_smuwtfa,5596067.608.865686
b_44-001_3585,30,0,EWA VILLAGES - EWA BEACH,440015,3585_s,5603661.4404.869903
b_54-002_3616,33,1,ALAPAI TRANSIT CENTER via Red Hill,540059,3616_smuwtfa,5596014.5404.865657
b_6-002_3563,6,0,PAUOA VALLEY,60125,3563_muwtf,5587864.605.861159
b_32-001_3585,25,1,KALIHI TRANSIT CENTER,320041,3585_s,5593875.3204.864291
a_A-006_3500,22,0,CityExpress! WAIPAHU,A0060,3500_s,5604104.2505.857212
a_52-005_3534,129,1,HONOLULU - Ala Moana Center,520086,3534_smuwtfa,5606764.5204.858980
b_411-001_3585,85,1,MAKAKILO PANANA ST,4120006,3585_s,5603631.4122.869875
b_3-001_3563,3,0,SALT LAKE,30158,3563_muwtf,5590005.314.862374
a_57-003_3500,103,1,HAWAII KAI - SEA LIFE PARK,230033,3500_s,5594133.2303.851369
a_62-005_3497,131,1,HONOLULU - Ala Moana Center,620146,3497_a,5602927.6205.856585
a_56-004_3497,35,1,HONOLULU - Ala Moana Center,560025,3497_a,5592198.5602.850138
b_433-001_3616,89,0,WAIPAHU TRANSIT CENTER,4330021,3616_smuwtfa,5606064.4333.871459
a_6-001_3497,6,0,PAUOA VALLEY,60125,3497_a,5591428.605.849570
b_19-023_3616,18,0,DOWNTOWN - Aala Park,190127,3616_smuwtfa,5597364.1907.866693
a_5-001_3495,5,0,ALA MOANA CENTER,50013,3495_muwtf,5587190.501.847423
b_42-005_3563,28,0,EWA BEACH via Arizona Memorial,420116,3563_muwtf,5599553.4205.867923
a_6-006_3497,6,0,PAUOA VALLEY,60125,3497_a,5591440.605.849581
b_62-004_3572,131,0,WAHIAWA HEIGHTS - Schofield,620157,3572_a,5602840.6209.869574
a_13-003_3497,127,1,WAIKIKI - UH Manoa,130118,3497_a,5613416.1312.859472
b_42-011_3585,28,0,EWA BEACH via Arizona Memorial,420119,3585_s,5603900.4205.870134
b_1-010_3572,1,0,KALIHI TRANSIT CENTER,10214,3572_a,5591920.107.863203
b_19-028_3585,19,1,WAIKIKI BEACH & HOTELS,200069,3585_s,5594925.2009.865104
b_3-007_3572,3,1,KAPIOLANI COMM COLLEGE,30162,3572_a,5592303.311.863410
a_15-001_3534,14,0,PACIFIC HEIGHTS,150013,3534_smuwtfa,5595673.1503.852247
a_93-013_3495,26,1,HONOKAI HALE,400227,3495_muwtf,5599920.4004.855059
a_65-002_3495,39,1,DOWNTOWN - Bishop Street,650091,3495_muwtf,5600172.6501.855241
b_434-001_3563,90,0,VILLAGE PARK,4340022,3563_muwtf,5599400.4341.867787
b_2-031_3563,2,1,WAIKIKI - KCC,20112,3563_muwtf,5589502.213.862186
b_14-002_3585,13,1,WAIKIKI - MAUNALANI HEIGHTS,140036,3585_s,5695963.1408.873902
a_22-002_3534,21,1,TheBeachBus - HANAUMA BAY,220049,3534_smuwtfa,5595541.2203.852150
a_8-006_3534,8,0,ALA MOANA CENTER,80021,3534_smuwtfa,5596555.801.852977
b_501-001_3563,113,1,MILILANI MAUKA,5010006,3563_muwtf,5632162.5011.873163
a_1-002_3497,1,0,KALIHI TRANSIT CENTER,10205,3497_a,5591948.107.850052
a_433-001_3495,89,1,WAIKELE - WAIPIO,4330013,3495_muwtf,5599310.4334.854583
b_72-001_3616,43,1,SCHOFIELD via Wahiawa,720026,3616_smuwtfa,5605364.7202.870909
a_42-012_3534,28,1,WAIKIKI BEACH & HOTELS,420128,3534_smuwtfa,5605223.4209.857765
b_9-003_3572,126,1,KAIMUKI - KCC,90159,3572_a,5592426.912.863515
b_65-002_3572,39,0,KANEOHE - KAHALUU,650096,3572_a,5602872.6504.869606
a_55-009_3534,130,1,HONOLULU - Ala Moana Center,550075,3534_smuwtfa,5606821.5502.859037
b_42-002_3572,28,1,WAIKIKI BEACH & HOTELS,420130,3572_a,5602578.4209.869430
b_432-001_3563,88,0,WAIPAHU TRANSIT CENTER,4320024,3563_muwtf,5598570.4322.867140
b_19-023_3616,18,1,WAIKIKI BEACH & HOTELS,190114,3616_smuwtfa,5597362.1911.866691
b_6-001_3616,6,1,UNIVERSITY - Woodlawn Drive,60120,3616_smuwtfa,5596054.608.865673
a_503-001_3534,114,1,LAUNANI VALLEY,5030006,3534_smuwtfa,5632527.5031.860362
b_32-002_3572,25,0,FOSTER VILLAGE - PEARLRIDGE,320044,3572_a,5591620.3202.862919
b_42-013_3563,28,0,EWA BEACH via Arizona Memorial,420119,3563_muwtf,5599578.4205.867948
b_3-002_3572,3,0,SALT LAKE,30158,3572_a,5592386.314.863493
a_22-002_3497,21,1,TheBeachBus - HANAUMA BAY,220049,3497_a,5592816.2203.850563
b_432-002_3585,88,1,WAIPAHU TRANSIT CENTER,4320022,3585_s,5603809.4322.870047
b_2-040_3572,2,1,WAIKIKI - KCC,20112,3572_a,5592940.213.863834
b_403-001_3585,83,1,NANAKULI,4030023,3585_s,5604294.4033.870438
a_7-010_3495,7,0,KAMEHAMEHA IV ROAD,70058,3495_muwtf,5588217.703.848184
b_40-003_3585,26,0,MAKAHA TOWERS,400223,3585_s,5604208.4092.870368
a_414-001_3495,112,1,CommunityAccess! KAPOLEI TC,4140006,3495_muwtf,5632202.4141.860069
a_432-002_3500,88,1,EAST WAIPAHU - Paiwa Street,4320025,3500_s,5603716.4321.856878
a_5-001_3534,5,0,ALA MOANA CENTER,50013,3534_smuwtfa,5595723.501.852295
b_7-002_3616,7,1,KALIHI UKA,70053,3616_smuwtfa,5596666.702.866207
a_3-003_3497,3,1,KAPIOLANI COMM COLLEGE,30152,3497_a,5592300.311.850228
a_9s-001_3497,125,0,PALOLO VALLEY,9s0004,3497_a,5592285.9A01.850215
a_3-008_3497,3,1,KAPIOLANI COMM COLLEGE,30152,3497_a,5592312.311.850240
a_411-002_3497,85,1,MAKAKILO PANANA ST,4120006,3497_a,5601859.4122.855746
b_3-009_3563,3,1,KAPIOLANI COMM COLLEGE,30162,3563_muwtf,5589952.311.862321
a_16-001_3495,15,1,KALIHI TRANSIT CENTER,160007,3495_muwtf,5587944.1601.847946
b_C-006_3572,40,1,CountryExpress! ALA MOANA,C0102,3572_a,5631839.6601.872999
a_501-001_3534,115,1,MILILANI via Kuahelani,5040005,3534_smuwtfa,5632571.5041.860402
b_411-002_3585,84,1,MAKAKILO HEIGHTS,4110024,3585_s,5603609.4112.869853
a_434-001_3534,90,1,WAIPAHU TRANSIT CENTER,4340043,3534_smuwtfa,5606123.4343.858478
b_1-006_3585,1,0,KALIHI TRANSIT CENTER,10214,3585_s,5594326.107.864694
b_A-004_3572,22,0,CityExpress! WAIPAHU,A0060,3572_a,5602227.2505.869212
a_42-009_3534,28,0,EWA BEACH via Arizona Memorial,420121,3534_smuwtfa,5605250.4205.857792
a_23-005_3534,103,0,WAIKIKI - Ala Moana Center,230040,3534_smuwtfa,5596771.2306.853165
a_62-004_3534,131,1,ALAPAI TRANSIT CENTER,620124,3534_smuwtfa,5606856.6202.859072
a_501-001_3500,115,1,MILILANI via Kuahelani,5040005,3500_s,5632469.5041.860312
b_1-004_3572,1,0,KALIHI TRANSIT CENTER,10214,3572_a,5591927.107.863210
a_E-001_3497,109,1,CountryExpress! DOWNTOWN,E0031,3497_a,5602773.6802.856441
a_6-004_3534,6,0,PAUOA VALLEY,60125,3534_smuwtfa,5596142.605.852621
b_C-002_3572,40,0,CountryExpress! MAKAHA,C0105,3572_a,5631808.6605.872969
a_4-001_3495,4,0,NUUANU - Dowsett Avenue via UH Manoa,40097,3495_muwtf,5589105.407.848718
b_8-003_3563,8,0,ALA MOANA CENTER,80021,3563_muwtf,5587346.801.860839
